tag,total,tag_true_rate
'my life soundtrack',1,0.00240963855422
'my shit',1,0.00240963855422
'narrative',1,0.00240963855422
'nashville',4,0.00963855421687
'nba',1,0.00240963855422
'need to rate',1,0.00240963855422
'neo soul',1,0.00240963855422
'neo-psychedelia',1,0.00240963855422
'neo-soul',1,0.00240963855422
'netlabel',2,0.00481927710843
'new age',1,0.00240963855422
'new british invasion',1,0.00240963855422
'new music',1,0.00240963855422
'new rave',2,0.00481927710843
'new soul',1,0.00240963855422
'new weird america',1,0.00240963855422
'new york',6,0.0144578313253
'new zealand',1,0.00240963855422
'new',2,0.00481927710843
'nice',1,0.00240963855422
'nick and norah',1,0.00240963855422
'night driving',1,0.00240963855422
'night music',1,0.00240963855422
'niiiiiice',1,0.00240963855422
'nix partly',2,0.00481927710843
'nix vocalising',1,0.00240963855422
'north carolina',1,0.00240963855422
'northwest',3,0.00722891566265
'norwegian',5,0.0120481927711
'nos3',1,0.00240963855422
'nostalgia',1,0.00240963855422
'notorious big',1,0.00240963855422
'nu disco',3,0.00722891566265
'nu rave',1,0.00240963855422
'nu-disco',1,0.00240963855422
'nu-folk',1,0.00240963855422
'nurave',1,0.00240963855422
'nz',1,0.00240963855422
'oasis',1,0.00240963855422
'oh my',1,0.00240963855422
'ohfuck',1,0.00240963855422
'ohmondie',1,0.00240963855422
'old-time revival',1,0.00240963855422
'oldies',4,0.00963855421687
'on the floor',1,0.00240963855422
'one tree hill',1,0.00240963855422
'ost',1,0.00240963855422
'other level',1,0.00240963855422
'otis redding',1,0.00240963855422
'outkast',1,0.00240963855422
'parody',1,0.00240963855422
'partay',1,0.00240963855422
'party ambience',1,0.00240963855422
'party time',1,0.00240963855422
'party',7,0.0168674698795
'passion pit',2,0.00481927710843
'pay attention',4,0.00963855421687
'percussion',1,0.00240963855422
'personal favourites',1,0.00240963855422
'personal',2,0.00481927710843
'perth',1,0.00240963855422
'philadelphia',1,0.00240963855422
'philly',1,0.00240963855422
'phoenix',2,0.00481927710843
'piano',5,0.0120481927711
'play it loud',1,0.00240963855422
'poka',1,0.00240963855422
'polish',1,0.00240963855422
'pop rock',3,0.00722891566265
'pop',36,0.0867469879518
'pop-folk',1,0.00240963855422
'posh',1,0.00240963855422
'post amoeba',2,0.00481927710843
'post core',2,0.00481927710843
'post grunge folk',2,0.00481927710843
'post post',2,0.00481927710843
'post rock',1,0.00240963855422
'post-punk',4,0.00963855421687
'post-rock',3,0.00722891566265
'powerful',2,0.00481927710843
'premium',1,0.00240963855422
'pretty excellent remix',1,0.00240963855422
'progressive house',7,0.0168674698795
'progressive rock',1,0.00240963855422
'progressive',1,0.00240963855422
'prominent percussion',1,0.00240963855422
'proper songs',1,0.00240963855422
'proto-punk',1,0.00240963855422
'psychedelic rock',3,0.00722891566265
'psychedelic soul',1,0.00240963855422
'psychedelic',11,0.0265060240964
'psychobilly',1,0.00240963855422
'pub rock',1,0.00240963855422
'punk rock',1,0.00240963855422
'punk',5,0.0120481927711
'pursuit of happiness',1,0.00240963855422
'quirky',1,0.00240963855422
'r&b',2,0.00481927710843
'r\xf6yksopp',1,0.00240963855422
'radio nova',1,0.00240963855422
'radio paradise',1,0.00240963855422
'radio phantom zone',1,0.00240963855422
'radio',1,0.00240963855422
'radioeins',1,0.00240963855422
'radiohead',1,0.00240963855422
'radioparadise',1,0.00240963855422
'rap hip hop',1,0.00240963855422
'rap',53,0.127710843373
'ratatat',2,0.00481927710843
'rave',1,0.00240963855422
're-re-re-re-re-mixed songs',2,0.00481927710843
'reassuring',1,0.00240963855422
'rebel',2,0.00481927710843
'recommended',4,0.00963855421687
'redlight remix',1,0.00240963855422
'redlight',1,0.00240963855422
'refixed',1,0.00240963855422
'reggae',2,0.00481927710843
'regina spektor',1,0.00240963855422
'rel-mnth:2010s:november',1,0.00240963855422
'relax',1,0.00240963855422
'relaxed',1,0.00240963855422
'relaxin',1,0.00240963855422
'remix',20,0.0481927710843
'remixes',2,0.00481927710843
'remixxx',1,0.00240963855422
'repeatrepeatrepeat',1,0.00240963855422
'retro',2,0.00481927710843
'revientapistas',1,0.00240963855422
'revoir',1,0.00240963855422
'revolutionary',1,0.00240963855422
'rhymefest',1,0.00240963855422
'rhythm and blues',6,0.0144578313253
'ridiculous',1,0.00240963855422
'riding-my-bike',1,0.00240963855422
'road trip music',1,0.00240963855422
'rock band',1,0.00240963855422
'rock',58,0.139759036145
'rockabilly',1,0.00240963855422
'rocket shoes mixtapes',3,0.00722891566265
'rolling stones',1,0.00240963855422
'romantic',1,0.00240963855422
'roskilde 07',1,0.00240963855422
'roskilde 2007',1,0.00240963855422
'running',1,0.00240963855422
'rusko',1,0.00240963855422
'sad',2,0.00481927710843
'sadandslow',1,0.00240963855422
'sam adams',1,0.00240963855422
'samoanz',1,0.00240963855422
'sample based',1,0.00240963855422
'sampled based',1,0.00240963855422
'sampling',1,0.00240963855422
'scottish',1,0.00240963855422
'scratch',1,0.00240963855422
'seattle',4,0.00963855421687
'sex android',1,0.00240963855422
'sex on fire',1,0.00240963855422
'sexy',2,0.00481927710843
'shimmery',1,0.00240963855422
'shit i adore',1,0.00240963855422
'shit is official',1,0.00240963855422
'shitty anal gaycore',1,0.00240963855422
'shoegaze',2,0.00481927710843
'sigur ros',1,0.00240963855422
'silvia',1,0.00240963855422
'singer-songwriter',23,0.055421686747
'singer/songwriter',1,0.00240963855422
'ska punk',1,0.00240963855422
'ska',1,0.00240963855422
'skinny',1,0.00240963855422
'sleep',1,0.00240963855422
'sleeping',1,0.00240963855422
'slug-o',1,0.00240963855422
'smooth',1,0.00240963855422
'snowboard',1,0.00240963855422
'so cute',1,0.00240963855422
'so fucking cool',1,0.00240963855422
'so funky',1,0.00240963855422
'sonic rock',2,0.00481927710843
'sooooooooo goooooodddd',1,0.00240963855422
'soothing',1,0.00240963855422
'soul',16,0.0385542168675
'soulful house',1,0.00240963855422
'soulnetwork-co-uk',1,0.00240963855422
'soundscapes',1,0.00240963855422
'soundtrack',3,0.00722891566265
'southern rap',2,0.00481927710843
'southern rawbilly',2,0.00481927710843
'southern rock',5,0.0120481927711
'southern',1,0.00240963855422
'spain',1,0.00240963855422
'speed freaks',4,0.00963855421687
'ss',1,0.00240963855422
'stargate universe',1,0.00240963855422
'stargate',1,0.00240963855422
'stones',1,0.00240963855422
'street punk',3,0.00722891566265
'strings and horns',1,0.00240963855422
'strings',1,0.00240963855422
'stripper tune',1,0.00240963855422
'sublime',1,0.00240963855422
'sufjan stevens',1,0.00240963855422
'summer 2011 playlist',1,0.00240963855422
'summer tracks',1,0.00240963855422
'summer vibes',1,0.00240963855422
'summer',15,0.0361445783133
'sun city',1,0.00240963855422
'sunny drive',1,0.00240963855422
'sunny',1,0.00240963855422
'sunshine',1,0.00240963855422
'superb',1,0.00240963855422
'surf pop',1,0.00240963855422
'surf rock',2,0.00481927710843
'surf',2,0.00481927710843
'surprisingly good',1,0.00240963855422
'sveglia dolce',1,0.00240963855422
'swedish',12,0.0289156626506
'sweet cover',1,0.00240963855422
'sweet harmony',1,0.00240963855422
'sweet',4,0.00963855421687
'swing hop',1,0.00240963855422
'swinghouse',1,0.00240963855422
'swingin summer singles',4,0.00963855421687
'sxsw 2007',1,0.00240963855422
'sxsw 2009',1,0.00240963855422
'sxsw 2011',2,0.00481927710843
'sxsw discovery',1,0.00240963855422
'sxsw2007',1,0.00240963855422
'synth',2,0.00481927710843
'synthpop',9,0.021686746988
'take cover',2,0.00481927710843
'talk',1,0.00240963855422
'taproom remix',1,0.00240963855422
'taraaa',1,0.00240963855422
'techno',6,0.0144578313253
'terrifilicious',1,0.00240963855422
'the black keys',1,0.00240963855422
'the city life',1,0.00240963855422
'the elements',1,0.00240963855422
'the genre',2,0.00481927710843
'the good stuff',1,0.00240963855422
'the jackson five',1,0.00240963855422
'the knocks',1,0.00240963855422
'the notorious big',1,0.00240963855422
'the prayer',1,0.00240963855422
'the presets',1,0.00240963855422
'the velvet underground',1,0.00240963855422
'the xx',2,0.00481927710843
'thrashgrass',1,0.00240963855422
'thug-rap',1,0.00240963855422
'tiamo',1,0.00240963855422
'tipicos topicos',1,0.00240963855422
'to check out',1,0.00240963855422
'tofind',1,0.00240963855422
'tonder festival 2008',1,0.00240963855422
'top 40',1,0.00240963855422
'top quality',4,0.00963855421687
'toronto',2,0.00481927710843
'torun',1,0.00240963855422
'trance',3,0.00722891566265
'transcending',1,0.00240963855422
'transmusicales',1,0.00240963855422
'trap',1,0.00240963855422
'trip hop',1,0.00240963855422
'trip-hop',4,0.00963855421687
'triphop',1,0.00240963855422
'trippy',1,0.00240963855422
'tropical',1,0.00240963855422
'trumpet',1,0.00240963855422
'trumpets',1,0.00240963855422
'tune',1,0.00240963855422
'turntablism',3,0.00722891566265
'turquoise and coral',1,0.00240963855422
'twee',1,0.00240963855422
'twilight',1,0.00240963855422
'u2 cover',1,0.00240963855422
'u2',1,0.00240963855422
'ugk',1,0.00240963855422
'uk hip hop',1,0.00240963855422
'uk',1,0.00240963855422
'ultimate sexellence',1,0.00240963855422
'underground hip hop',11,0.0265060240964
'underground rap',1,0.00240963855422
'underground',4,0.00963855421687
'universal',1,0.00240963855422
'upbeat',5,0.0120481927711
'uplifting',1,0.00240963855422
'urban',2,0.00481927710843
'uswag',1,0.00240963855422
'van she',1,0.00240963855422
'vertic',1,0.00240963855422
'very chill',1,0.00240963855422
'very good',1,0.00240963855422
'video game sounds',1,0.00240963855422
'videogame',1,0.00240963855422
'vintage kanye production',1,0.00240963855422
'violin',1,0.00240963855422
'visceral',1,0.00240963855422
'vocal harmony',1,0.00240963855422
'wale',1,0.00240963855422
'walkman music',1,0.00240963855422
'weed mentioned',1,0.00240963855422
'weed smokers anthem',1,0.00240963855422
'weird',1,0.00240963855422
