artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Delorean,1436825232,177,2brrp,17,Vocododo,221,Crystal,electonric
Black Coast,1436819361,32,2c3mp,6,Oh My Rock,276,Gold Chain feat. REMMI,electonric
Stafford Brothers,1436824146,58,2c9x9,1,Dancing Astronaut,204,When You Feel This feat. Jay Sean & Rick Ross,electonric
Galimatias,1436817394,11,2c9ve,1,Never Radio,246,Major Crimes & Unicorns,electonric
strië,1436785238,1,2c9gd,1,Headphone Commute,280,Untitled 1956 ▰ Struktura album,electonric
Shy Girls,1436789243,259,299qk,11,Pan od Muzyki,189,Arrest Me (feat. Tei Shi),electonric
Claudio Coccoluto,1436776525,5,2c9ep,1,Lipstick Disco,128,Tribe Call Sun (snippet),electonric
BOO SEEKA,1436781382,5,2c9fv,1,Pause Musicale,189,Deception Bay,electonric
DESIRE,1436767285,5,2c9dq,1,A Feast of Beast,257,DON'T CALL (12 Inch Version),electonric
retroViSOR,1436745610,1,2c9c1,1,Revista Metrónomo,258,Chicha!,electonric
Sideral,1436745633,4,2c9c7,1,MUTE Magazine,238,De Mónaco.,electonric
Lauv,1436741825,62,2c7yy,2,acid stag,230,The Other (Ghosts Remix),electonric
Emancipator,1436741806,6455,2c5kv,11,acid stag,309,Eve II (ODESZA Remix),electonric
Nicolas Jaar,1436810430,1518,2c814,3,Delicieuse Musique,360,Tourists (Creange remix),electonric
Kisses,1436810438,487,2c03x,18,Delicieuse Musique,300,A Groove,electonric
De Lux,1436806176,45,2c9h0,2,Indie Shuffle,287,"Someday Now"" (Superhumanoids Cover)",electonric
Murlo,1436807684,50,28z6k,6,voluume,207,Jasmine (feat. Gemma Dunleavy),electonric
Venetian Snares,1436801295,18,2c7de,8,Tiny Mix Tapes,394,Your Face When I Finally,electonric
The Chap,1436804047,3,2c79d,2,Niche Music,126,Jammer,electonric
Public Service Broadcasting,1436797311,266,298j8,16,EUPHORIA. Magazine,380,The Other Side,electonric
Beat Detectives,1436816949,5,2c9v1,1,Decoder Magazine,201,Something Temporary,electonric
SWEATSON KLANK,1436791358,6,2c9hv,1,ReqEffect,243,NIGHTCAP (XLR8R &,electonric
Jimpster,1436793382,16,2c8dq,2,Resident Advisor,395,English Rose (Freerange Records) (96Kbps),electonric
"Astronauts, etc.",1436764462,3820,2b54c,23,The Music Court,230,No Justice,electonric
HANA,1436690959,1019,2c6zs,16,Pan od Muzyki,231,Avalanche,electonric
!!!,1436706425,99,2afwb,10,Noonday Tune,323,All U Writers,electonric
The Greg Foat Group,1436662163,5,2c96f,1,A Grumpy Old Man With A Beard,60,The Dancers Waltz (clip),electonric
myk.,1436667713,13,2c96v,1,acid stag,370,South,electonric
The Greg Foat Group,1436662166,2,2c96g,1,A Grumpy Old Man With A Beard,60,The Eye of Horus (clip),electonric
CHVRCHES,1436662153,9890,20cke,29,Poetry in an Empty Coke Can,389,Lies (Tourist Remix),electonric
Dj Glen,1436659625,3,2c965,1,ERRANT,413,Boogie Mafioso,electonric
Justin Martin,1436650928,79,1w3zf,2,ERRANT,349,Don't Go (DJ Version),electonric
Tora,1436662147,314,2btze,4,Poetry in an Empty Coke Can,277,Jaigantic (Daniele Di Martino Remix),electonric
Culprate,1436726548,10,2c9af,1,Waxhole,234,About-Face (Eventually Collections: Volume One),electonric
Robyn,1436736923,2968,2c3ac,6,Dancing Astronaut,271,Dancing On My Own (Templeton Remix),electonric
Flamingosis,1436714498,292,2c3c4,2,The Smoking Section,163,Finesse (Hey Baby),electonric
Gold Falls,1436718526,10,2c99s,1,Sound Injections,176,Terra (Forthcoming Collection 10.07.15.),electonric
