artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Jackie,1389453315,6,21q6h,1,Music You Wanna Listen To,282,Needs / Weekly02,lofi
Go Dugong,1389716977,3,21s3w,1,polaroid,214,Bubble Bobble,lofi
Haunted Hearts,1396274256,2,23fwn,1,Side One Track One,256,Johnny Jupiter,lofi
Go Dugong,1396556931,7,23k8s,1,Inyourspeakers Media,371,"Chalk"" (feat. LIFE&LIMB) (Haring Remix)",lofi
Jackie,1395589008,7,23a11,1,Music You Wanna Listen To,395,Rhimshats / Weekly12,lofi
Jackie,1396189283,13,23f8e,1,Music You Wanna Listen To,329,I Feel Vaib / Weekly13,lofi
Jettison Tape,1394903602,27,22keq,2,MUSIC BETWEEN FRIENDS,103,Blowout Beach,lofi
Phil Elverum,1395262947,4,1jh4m,3,Dead Horse March,227,the Hidden Stone,lofi
Jettison Tape,1394903597,6,234pm,1,MUSIC BETWEEN FRIENDS,93,Somersault,lofi
Jettison Tape,1394903605,5,234pr,1,MUSIC BETWEEN FRIENDS,63,Welcome To Fort Tundra,lofi
Jackie,1394296302,14,2306j,1,Music You Wanna Listen To,346,Come Back / Weekly10,lofi
Jettison Tape,1394807291,42,2252t,3,Atlas and the Anchor,231,Night Driver,lofi
Jackie,1391271678,1,226cw,1,Music You Wanna Listen To,327,Body Check / Weekly05,lofi
Komon,1386781708,15,2122g,2,room516,379,Walk the Walk (1745 Edit),lofi
O Tortuga,1386976306,9,1wyqm,2,Club Fonograma,173,Palma Linda,lofi
Champ,1385131829,3,20p42,1,Indie Shuffle,174,Piss,lofi
sleepy eyes,1386688482,21,211tk,1,Potholes In My Blog,149,sleepyeyes x aaronmaxwell _ looseleaves,lofi
Terrible Disguise,1384474581,37,1srsp,3,ourvinyl,181,Terrible Disguise,lofi
R.S.A.G,1383179898,6,206kz,1,nialler9,232,You want more: Tu-Ki ReFix,lofi
Go Dugong,1384126126,4,20dgj,1,Indie Shuffle,256,Go Dugong - Carry A Flag (UnThink Remix),lofi
The Mountain Goats,1382024609,11,1zxt9,1,The 'Spill,166,Southwood Plantation Road,lofi
Deathline,1382115014,4,1zym0,1,The Devil Has The Best Tuna,243,Every Dying Breath,lofi
Teen Mom,1389027613,2,21k9w,1,D.C. Music Download,168,Heavy Metal,lofi
i am your captain,1389302503,1,21p33,1,Deadly Music!,263,periscope,lofi
Jackie,1388868979,18,21jek,1,Music You Wanna Listen To,308,Every Morning / Weekly01,lofi
Teen Mom,1389027615,3,21k9x,1,D.C. Music Download,140,It's You,lofi
sleepy eyes,1388031664,17,21dc6,1,EgyptianMaraccas,123,reallywanna,lofi
Teen Mom,1388794594,35,1wx1m,4,Surfing Saxophone,263,I Wanna Go Out (Brett Remix),lofi
euphoria again,1387397655,11,218vc,1,HEΔRT AND SOUL,130,Tied*,lofi
Matt Longo,1387489035,6,219w8,1,Fingertips,243,I'm Just About Done,lofi
euphoria again,1387302165,3,217py,1,Austin Town Hall,133,Austin called,lofi
Strip Down,1387307815,1,217tc,1,A Feast of Beast,251,Close Your Ears (demo version),lofi
Porches.,1384935297,46,209rn,11,das klienicum,198,Townie Blunt Guts,lofi
O Tortuga,1378947481,5,1z5k2,1,Matinée as Hell,231,Tatiana,lofi
The Dead Ships,1379955752,9,1yk9c,4,My Old Kentucky Blog,162,Golden Room,lofi
AUSMUSIC,1377738852,13,1xqaq,3,the trash juice,418,Poly Sum,lofi
O Tortuga,1378400529,3,1z1dc,1,El Babuino,154,Nena Pálida,lofi
Lowpines,1372756597,6,1wr82,2,Folk Radio UK,157,Avenue Blues,lofi
the Mountain Goats,1371908297,6,1xfk6,1,Largehearted Boy,246,Nine Black Poppies,lofi
Casiotone For The Painfully Alone,1372509461,30,q4gf,2,The 'Spill,162,Scattered Pearls,lofi
Go Dugong,1370866748,6,1x6d3,1,The 405,214,Growin'Up,lofi
sleepy eyes,1371319036,11,1xaz9,1,The Up-Turn,66,sidewok,lofi
The Fabergettes,1381449509,5,1zs42,1,When You Motor Away,187,Little White Lie,lofi
Go Dugong,1381491726,13,1zq7t,2,The Breakfast Jumpers,199,Dawn Gazers,lofi
Wilfried*,1381172672,4,1zpdk,1,WeWant2Wigoler,460,Matrice (rough mix),lofi
SELA.,1381209880,6,1zppz,1,their bated breath,555,change,lofi
Teen Mom,1380730875,44,1y8wm,12,PORTALS,388,Kitchen,lofi
