artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Hot Chocolate,1431801802,77,1g3fg,2,Last Gas Station,447,Heaven Is In The Backseat Of My Cadillac (The Revenge Rework),funk
Walter Murphy,1431844960,141,2bc8a,1,Your Music Radar,245,A Fifth Of Beethoven - (Soulwax Edit),funk
YUNG BAE,1432073267,441,29zvj,2,Abduction Radiation,219,Party In Me (YUNG BAE Edit),funk
Latyrx,1433452657,0,2bpwn,1,Ambiance Jeune,221,Lady Don't Tek No,funk
Penguin Prison,1432057829,6968,1dz65,37,All Things Go,251,Don't Fuck With My Money,funk
Eldridge Holmes,1432057834,5,2bdtc,1,Funky16Corners,123,Emperor Jones,funk
20syl,1432054976,2392,2b4c6,9,ALIAT,219,Back & Forth,funk
20syl,1432054983,351,2b8pa,4,ALIAT,247,Swimming Stone,funk
The Higsons,1432020492,9,2bddn,1,Crying All The Way To The Chip Shop,209,Tear The Whole Thing Down,funk
The Southern Belles,1432041362,4,2bdjx,1,Richmond Playlist,286,Getaway (single),funk
Chic,1431983695,193,2bcev,2,The Music Ninja,278,I'll Be There (ZHU Extended Vocal Mix),funk
Marvin Gaye,1432011055,568,2bc6s,3,Your Music Radar,244,Sexual Healing (Laquell Remix),funk
Arthur Miles,1431940051,9,2bcjm,1,For The Sake Of The Song,190,Lonely Cowboy - Part 1,funk
Tuxedo,1431624576,412,2b4z9,16,TheWebTape,264,The Right Time (Kaytranada Rmx),funk
ALL GOOD FUNK ALLIANCE,1431626834,8,2bb51,1,monkeyboxing,305,FUNK THIS JAM FEAT. SOUL SUIT,funk
Prince,1431508885,16,2ba35,1,For The Sake Of The Song,274,Baltimore,funk
Prince,1431544972,171,6492,8,Tincanland,521,Purple Rain,funk
Crazy P,1431450527,21,2b9k0,1,Burl Veneer's Music Tumblr,123,Witch Doctor,funk
Pimps of Joytime,1431446496,5,2b9ff,1,Richmond Playlist,239,Dance Cardia feat. Rubblebucket,funk
Pimps of Joytime,1431446489,16,2b9fe,1,Richmond Playlist,286,Heart Is Wild,funk
Ron Basejam,1431433767,7,2b9av,1,Le Limonadier,191,The Fire,funk
Ron Basejam,1431433771,7,2b9aw,1,Le Limonadier,217,Kag,funk
Bernard Wright,1431754521,39,2bc2k,1,Future Classics,251,Just Chillin' Out (Kartell Edit),funk
Saskwatch,1431759610,16,2bc2w,1,art felicis,179,I'll Be Fine,funk
Jungle,1431714978,64,2bbwy,1,8106,455,Julia (Soulwax Remix),funk
The Blue Method,1431726180,2,2bbzx,1,Cover Me,652,Radio (Van Morrison cover),funk
dego,1431706547,6,2bbs6,1,Twistedsoul,235,It Don't Get No Better,funk
BOSCO,1431715773,35,2b75y,6,The Deli Magazine,224,BOY feat. Jace of Two-9,funk
Crazy P,1431703120,26,2bbqz,1,Le Visiteur Music Blog,120,Like A Fool,funk
George Benson,1431708144,20,2bbsq,1,Le Visiteur Music Blog,429,The Ghetto (RocknRolla Soundsystem Edit),funk
Los Tetas,1431636639,7,2bb9f,1,NNM,422,Tanz (Roman & Castro Remix),funk
Flight Facilities,1431698852,42,2bbnk,1,Your Music Radar,402,Down To Earth (Wankelmut Remix),funk
Vinyette,1431457649,4,2b9ra,1,Rock And Roll Creations,230,Charlie by Vinyette,funk
Marvin Gaye,1431276574,2928,2b4gv,7,Waxhole,225,Ain't That Peculiar (Beshken Remix),funk
The Virgins,1431288439,234,k6y5,11,The French Shuffle,198,Rich Girls (RAC Mix),funk
Chemise,1433452508,1,2bpwc,1,Ambiance Jeune,182,She Can't Love You,funk
Soul Square,1431270461,42,2b8az,1,Delicieuse Musique,223,Talib Kweli - On Mission (Soul Square RMX),funk
Van Hunt,1431054436,11,2b7bq,1,fyeahblackrockmusic,242,Music Is A World Within Itself,funk
Wilson Pickett,1431023705,10,2b72s,1,fyeahblackrockmusic,144,Three-Time Loser,funk
Ewan Hoozami,1431034517,4,2b775,1,monkeyboxing,243,Do What Ya Want *2015 VIP* {MASTER},funk
Soul,1430931380,72,235b3,3,music is art,237,Only One (Joe Kay's Slowed Sade Edit),funk
Slow Knights,1430971637,21,2b6m7,1,Lipstick Disco,440,Candy Sugar Rush (ColeCo Remix),funk
Ron Basejam,1431433757,15,2b9as,1,Le Limonadier,206,When I Hear That Music,funk
Ron Basejam,1431433762,8,2b6bh,2,Le Limonadier,149,When I Hear That Music (Reprise),funk
Art vs Science,1431430615,31,2axqk,3,Casual Band Blogger,244,In This Together,funk
