artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
They Might Be Giants,1436564964,4,2c8y7,1,Cover Me,139,I Was Dancing in the Lesbian Bar,rock
They Might Be Giants,1436564999,3,2c8ya,1,Cover Me,208,Starry Eyes,rock
Panic! At The Disco,1436544912,212,2axyf,2,surviving the golden age,180,Hallelujah,rock
BLiNDNESS,1436455347,0,2c839,1,Deadly Music!,205,Serves Me Right,rock
The Just Luckies,1436462074,2,2c85t,1,Pop 'stache,208,Convictions,rock
Escape,1436452545,91,295g9,5,House of Lords,372,Just Escape,rock
The Madcaps,1436454489,9,2ag63,2,Part Time Wizards,222,I Knew It All,rock
The Chap,1436447780,8,2c80p,1,The Ransom Note ,125,That's Wrong,rock
Civil Twilight,1436448909,67,2bmmw,2,The Revue,252,"When, When",rock
Civil Twilight,1436448905,33,2a1w2,3,The Revue,277,Story Of An Immigrant,rock
Manic Street Preachers,1436428822,4,2c7w0,1,Dots & Dashes,239,Motown Junk,rock
Bar de Monjas,1436427902,1,2c7vs,1,Heavy Planet,246,Hot Rail,rock
Black Whales,1436537674,7,2c8n1,1,KEXP Blog,214,2460 The Warm Parade,rock
Daktyl,1436539076,15,2c8np,1,Waxhole,216,Cyclical (Saturn Remix) (feat. SPZRKT),rock
The Districts,1436516467,21,2bp65,3,Kemptation,242,Chlorine,rock
hey bulldog,1436527801,18,28bdn,2,The Revue,335,Makin Friends Not Millionaires,rock
DIZZY,1436485785,12,2c5yc,2,Keep On Repeat,282,(LONE x DOJA CAT),rock
Robert Smith,1436512881,7,2c8fx,1,THE VINYL VILLAIN,231,There's A Girl In The Corner,rock
Adam Lambert,1436477976,26,2c8bj,1,robot dance music,264,Ghost Town (COSSY REMIX),rock
haven,1436507808,8,2c8ff,1,Stereofox,128,ｌ ｏ ｓ ｔ,rock
Desert Sound Colony,1436467745,32,2c66j,2,blahblahblahscience,292,Fashion (David Bowie Cover),rock
AVALANCHE,1436473267,8,2c8a7,1,The Burning Ear,222,EMM,rock
