artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Defected Records,1436389242,143,2bcf5,3,Caveman Sound,190,The Shapeshifters feat. River 'It's You (Purple Disco Machine Remix)' (Edit),house
Martin Solveig & GTA,1436425215,32,2c7vd,1,Planeta Pop,205,Intoxicated (99 Souls Remix Radio Edit),house
Amtrac,1436386912,191,2aay4,5,gottadancedirty,341,Those Days (VIP Mix),house
Mason,1436389260,33,2c7pr,1,Caveman Sound,358,Nite Rite Five,house
Fatboy Slim,1436382859,693,6yfw,5,Mixmag,322,Praise You,house
Shenoda,1436374630,13,2c7g2,1,The Ransom Note ,390,Dave's Myth,house
Zedd,1436382850,158,2c7kt,1,Dancing Astronaut,255,Beautiful Now (Charlie Darker Remix),house
Youandewan,1436369321,5,2c7e6,1,THUMP,354,Verloren,house
Daphni,1436376156,482,2bs0c,16,Apes on Tape,313,Usha,house
BNJMN,1436447694,5,2bznb,2,Resident Advisor,304,Rattled,house
Matrixxman,1436454016,28,2axwe,8,Burl Veneer's Music Tumblr,353,Augmented,house
Laurence Guy,1436444487,11,2c3j2,2,Stamp The Wax,375,Faithful,house
ATTLAS,1436442977,11,2c7yx,1,Music You Wanna Listen To,328,Chemical Low Moan,house
Scheinizzl,1436439627,13,2c7y1,1,TRNDMUSIK,358,One More (Original Mix)Out Now,house
Scheinizzl,1436439624,6,2c7y0,1,TRNDMUSIK,246,Space Suit Feat. David Lageder (Original Mix)OUT NOW,house
Jesper Ryom,1436431784,93,2332e,4,Le Limonadier,312,Ghostly (Paxton Fettel Remix),house
Justin Martin & Ardalan,1436456949,18,28q7d,2,Discobelle,125,Function Feat. PartyPatty (PREVIEW),house
Nikola Gala,1436460545,5,2c854,1,When We Dip,462,Serge 93 (Original Mix) (New Violence Records),house
Paxton Fettel,1436431776,151,28c97,3,Le Limonadier,339,Tripped Out,house
PYRMDPLAZA,1436384208,11,2c7mq,1,House of Lords,232,Cradle,house
AMTRAC,1436301835,380,1t1ps,7,Beautiful Buzzz,421,THOSE DAYS (ORIGINAL MIX),house
Leif,1436305067,15,2c6hn,2,electric sound of joy,266,My Heart Stopped Beating,house
Sound Stream,1436295677,13,2c6y4,1,ERRANT,424,Starstrike,house
TJH87,1436297294,669,2bgx3,8,Sonofmarketing,205,Lost Into The Night (Feat. Guy Brown),house
Audiofly,1436288298,10,2c6t3,1,XLR8R,496,Chiaroscuro,house
Vallès,1436265758,168,2ae3n,10,ALIAT,256,Sorrow,house
Frog,1436278936,21,2agjq,5,DIY,217,Judy Garland,house
Dear David,1436233339,31,2c6fc,1,Dancing Astronaut,294,Hypnotized (Extended Mix),house
Dave Allison,1436265764,3,2c6jr,1,ALIAT,330,Let Me Tell Ya (feat. Falcon Punch),house
Knightlife,1436364021,36,2c51q,3,Modular Magazine,351,Heavy Down,house
St Germain,1436364448,13,2c7cq,1,Mixmag,414,Real Blues (Atjazz Stay Tuned remix),house
Jupiter Jax,1436356170,9,2c7ak,1,Stamp The Wax,238,Road Rage,house
Groove Armada,1436360840,92,2c1c2,2,Harder Blogger Faster,225,Love Sweet Sound (Kölsch Remix) (Little Black Book),house
Sbtrkt,1436334139,3,2c76e,1,THE VINYL VILLAIN,174,Heatwave,house
SiR,1436345375,26,2c6bd,7,Pause Musicale,146,Right By You,house
Rina Sawayama,1436336469,10,2c76v,1,At Cost Magazine,113,Tunnel Vision via Bandcamp),house
Lancelot,1436328459,36,2c3p1,4,Minted,445,Mover,house
Fort Romeau,1436321057,112,2bpqv,10,The Ripe,404,Saku,house
Adam Port,1436321065,10,1vnee,2,The Ripe,244,Black Noise (&ME Remix),house
Norken,1436294762,6,2c6x7,1,FACT,475,Ride,house
Disclosure,1436147351,34,2c5xb,1,Minted,341,Bang That (Don Rimini Chicago Version),house
Tale Of Us,1436148018,7,2c5xd,1,ERRANT,429,Discochord,house
Alison Wonderland,1436132980,1059,2c5pw,2,The Jackplug,199,Run (Wildfire Remix),house
Toyboy & Robin,1436135293,31,2c5wj,1,Music Is My Life,275,Losing My Love (feat. Rothwell),house
Nightriders,1436112845,34,2c5sz,1,Dancing Astronaut,395,Demand You (Alcala Remix),house
Nightriders,1436112859,16,2c5t3,1,Dancing Astronaut,422,Demand You (Jamie de Von Remix),house
Nightriders,1436112848,19,2c5t0,1,Dancing Astronaut,369,Demand You (Ralphi Rosario Deepa Mix),house
Volta Cab,1436084045,3,2c5r2,1,technoszene,118,"Caspian Sea (Zombie Soundsystem, ZS019)",house
Nightriders,1436112855,6,2c5t2,1,Dancing Astronaut,436,Demand You (W. Jeremy's 1991 Warehouse Mix),house
Strictly Rhythm,1436213255,27,2c5kt,3,Do You Like That Song?,215,Flush 'Come Back Baby' (Edit),house
Tom Trago,1436220872,8,2c6dc,1,ERRANT,532,Resistance (daytime),house
Beat Detectives,1436202043,14,2ax7c,3,Reviler,275,Somethin's Rippin,house
Beat Detectives,1436202036,10,2bj0e,3,Reviler,192,Napoleon Hat,house
Ashworth,1436194274,143,2c446,2,Tram22,236,Sawdust (Needwant),house
Alexander Maier,1436194278,9,2c64p,1,Es ist Liebe,637,Sommernachtstraum (Original),house
Art Department,1436187625,33,2bx6r,3,XLR8R,656,Catch U By Surprise (Guy Gerber Remix),house
