artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Anna of the North,1436507794,561,24ysg,18,Stereofox,182,Sway,pop
VARSITY,1436462219,3,2c866,1,Chicago Reader,174,Fall Back on the Arrow You Love,pop
Boaz,1436471778,25,2c71v,2,nah right,168,Choices Freestyle - Boaz,pop
Flamingods,1436443715,5,2c7zc,1,The Line Of Best Fit,260,Quesso - (Esmink Remix),pop
The Chainsmokers,1436461067,69,2c85d,1,Dancing Astronaut,289,Good Intentions feat. Bully Songs (DallasK Remix),pop
Melanie Durrant,1436446822,6,2c805,1,AFROPUNK - Sound Check,238,Mr. Wonderful (Prod. Kuya Productions),pop
Jasmine Thompson,1436447659,53,2c80a,1,Yaqui,188,Adore,pop
The Shorts,1436436092,1,2c7xh,1,Emerging Indie Bands,215,You don't get it,pop
The Shorts,1436436042,0,2c7xg,1,Emerging Indie Bands,112,Victoria Red,pop
FFS,1436400075,74,2at9p,9,IndiePANTS,192,Johnny Delusional,pop
GRRL PAL,1436315331,5919,27pv9,18,Pick Up The Headphones,220,Paradise,pop
Rina Sawayama,1436336469,10,2c76v,1,At Cost Magazine,113,Tunnel Vision via Bandcamp),pop
flor,1436305838,2534,2c135,12,What Else Is There?,246,warm blood,pop
Black Vanilla,1436813368,10,2c17q,5,I heard a whisper,261,Slug,pop
SPZRKT,1436305026,44,2c5td,2,Auditory Collective,242,Blind Man (Prod. by J-Louis),pop
Superstudio,1436292428,4,2c6w4,1,8106,380,Delirium Pt.1,pop
Tei Shi,1436293554,2,2c6ws,1,surviving the golden age,219,Bassically (Jesse Ruins Remix),pop
Sumera,1436291013,66,2c65h,3,The Autumn Roses,205,Wolf (BLVTH EDIT),pop
Jacquees,1436294766,21,2c6wz,2,Boi-1da,241,Come Thru feat. Rich Homie Quan,pop
Kathleen Sat On The Arm Of Her Favourite Chair,1436361014,24,2b9fd,12,The VPME,146,Hooton Tennis Club,pop
Coco,1436365350,4,2c7d1,1,The Ransom Note ,191,Target Practice,pop
KAT VINTER,1436346011,133,26ew4,9,movimenta,280,Downtime,pop
Marika Hackman,1436350035,3,2c794,1,DrunkenWerewolf,206,"Undone, Undress",pop
A1,1436330536,0,2c75y,1,The Ripe,90,Two Chord Wake,pop
Collarbones,1436328441,4682,2c53y,11,Caveman Sound,334,Turning (Flume Remix),pop
DeBarge,1436324437,28,2c74w,1,Lipstick Disco,235,I Like It (Bishiclet Edit),pop
Saint Raymond,1436327361,20,2c75b,1,acid stag,282,Young Blood (PINEO Remix),pop
Misterwives,1436322137,4685,2c4jk,5,J(am) of the Day,240,Hurricane (Halogen Remix),pop
POLARHEART,1436326530,48,2bw0z,6,Happy,216,Dystopia,pop
/please/,1436305064,12,2bzse,2,Gold Flake Paint,181,not big,pop
YesYou,1436265785,16,2c1ne,3,ALIAT,208,"Get Up, Get Down (feat. Kane Mazlin)",pop
Jennifer Hudson,1436265768,4,2c6js,1,ALIAT,214,It's Your World (VBND Remix),pop
Shura,1436247322,2687,2bp3m,42,Twee Huizen Verder,437,White Light,pop
New Motion,1436250072,9,2c51k,2,Niche Music,194,Guilty,pop
Brika,1436228478,62,2c6ee,1,Yaqui,274,Options (Sam Feldt Remix),pop
Princess Chelsea,1436202126,9,2c67w,1,When You Motor Away,302,Too Many People,pop
Eyedress,1436203033,10,2c68k,1,1833 FM,171,Where My Girl At?,pop
Collarbones,1436186993,69,2602e,12,movimenta,249,Turning,pop
Part Time,1436203001,31,2b6vq,5,Another Dying Art Form,181,Pussy Of My Dreams,pop
San Fermin,1436285782,311,290m5,22,Muros de Absenta,220,Jackrabbit,pop
SEVDALIZA,1436290152,2664,2bxa6,12,Turntable Kitchen,210,MARILYN MONROE,pop
Kamera,1436282506,10,2abv7,3,The Ransom Note ,246,Cold Land EDIT (PH45),pop
San Fermin,1436285776,3267,29qgj,27,Muros de Absenta,225,Emily,pop
Chimes,1436283364,21,2c5z3,2,Abduction Radiation,274,Pieces,pop
Ivy,1436285262,0,2c6re,1,Portals,103,Cave Business,pop
Babel,1436275704,2,2c6mr,1,Don't Need No Melody,107,Miracle in the Maze,pop
Hippo Campus,1436277388,16,2c6n4,1,KEXP Blog,212,2457 Suicide Saturday,pop
Mark Barrott,1436267650,25,2c679,4,Miojo Indie,472,Sketches From An Island 3,pop
Jacquees,1436271667,17,2c6cg,2,Boi-1da,231,F'n With Me,pop
The Magic Numbers,1436248167,34,8vvb,2,THE VINYL VILLAIN,251,Forever Lost,pop
Rodney Cromwell,1436091683,8,2bwz7,2,Escafandrista Musical,266,Barry Was An Arms Dealer,pop
SAM FELDT,1436112883,43,2c5t9,1,Dancing Astronaut,197,SHOW ME LOVE ( KRYDER & TOM STAAR REMIX ),pop
Luther Vandross,1436081721,21,2c5r1,1,An Audio Life,357,Never Too Much,pop
Volta Cab,1436084045,3,2c5r2,1,technoszene,118,"Caspian Sea (Zombie Soundsystem, ZS019)",pop
Tep No,1436038956,2391,2c12c,5,Never Radio,221,It's Alright (NGHTMRE Remix),pop
Slow Turismo,1436014825,31,29kj9,12,Niche Music,190,Corners,pop
Dario G,1436023692,15,2c5m8,1,Dancing Astronaut,248,Sunchyme (Bryan Kearney Bootleg Mix),pop
KIll J,1435953559,70,2bjq0,10,The Burning Ear,191,Cold Stone,pop
Slow Turismo,1436014822,18,2c5dt,3,Niche Music,186,I Sit Down As Soon As I Get Up,pop
Day Wave,1436198165,1938,2bsjh,36,Inthejunkyardmusic,219,We Try But We Don't Fit In,pop
THE TURTLES,1436175880,24,2c600,1,MOARRR,361,HAPPY TOGETHER (LUXXURY EDIT),pop
I'm Not A Band,1436170479,24,2c5tq,2,movimenta,278,Cages (Christian Löffler Remix),pop
I'M NOT A BAND,1436170475,30,2c2ps,3,movimenta,291,Cages (Album Version),pop
Lupa J,1436159229,47,2c0gp,9,Casual Band Blogger,292,Quiet Here,pop
Noah,1436167686,19,2btsb,4,The 405,300,Flexion,pop
Robyn,1436136131,4519,2c3tm,5,acid stag,215,Call Your Girlfriend (Thero & Taylor Wise Remix) (Feat. Allison Weiss),pop
Fractures,1436157742,29,2c5xq,1,acid stag,252,Won't Win (The Karmens Re-Work),pop
Laser Background,1436120080,2,2c5tv,1,The Deli Magazine,176,Hand-in-hand,pop
Alison Wonderland,1436132980,1059,2c5pw,2,The Jackplug,199,Run (Wildfire Remix),pop
Bridge,1436056088,52,2c5q7,1,Future Classics,215,Roll My Weed (feat. ScHoolboy Q) (Dave Luxe Remix),pop
Jess Glynne,1435861270,111,2c4n4,2,Wonky Sensitive,212,Don't Be So Hard On Yourself,pop
Tahiti 80,1435863407,29,294k6,2,Vocododo,242,Coldest Summer(The Reflex Re√ision Short Edit),pop
Young Summer,1435859375,1533,25tsm,11,Raw Meat,224,Leave Your Love,pop
Demi Lovato,1435863370,410,2c4xj,1,POP ON AND ON,215,Cool for the Summer,pop
MAS YSA,1435850891,37,2c062,6,DrunkenWerewolf,318,Arrows,pop
SignA,1435845612,6,2a09a,2,The Last Mixed Tape,298,Spoonful Of Honey,pop
Bloody Death Skull,1435845269,6,2c4px,1,The Vinyl District,189,Sky Ferreira,pop
Cinerama,1435819326,7,2b552,2,das klienicum,158,04 Back A Bit... Stop,pop
Adriano Celentano,1435829706,15,2c4kw,1,Frequenze Indipendenti,288,L'unica chance (Spillo Disko Edit),pop
Everything But The Girl,1435945374,88,gp5v,3,ilictronix,259,Before Today,pop
Lupa J,1435949824,73,29taq,13,Indietronica,262,Waiting For Her,pop
Neon Hitch,1435934570,40,2c4n2,2,The Jackplug,216,Sparks (Xander James Remix),pop
Rihanna,1435942180,267,2c5bv,1,surviving the golden age,207,Bitch Better Have My Money (BBHMM),pop
Cristina,1435930536,17,18dkz,2,Avant-Avant,250,Disco Clone (Single Version),pop
Hippo Campus,1435932427,653,27syw,11,MusikBlog,213,Suicide Saturday,pop
Janet Jackson,1435880589,38,2c52x,1,Absolute Bassline,215,No Sleeep (WYLN Remix),pop
Exohxo,1435929262,7,2c59a,1,Insomnia Daily Dose,186,Past Lives,pop
Verse Simmonds,1435868483,29,2c4xy,2,Boi-1da,211,All I Want feat. Jeremih (Main),pop
DYLAN BRADY,1435869401,8,2c50n,1,1833 FM,111,Take Care Of My Dog When I'm Gone,pop
LCMDF,1435849713,38,2axz1,4,Indie Shuffle,193,FOOLED,pop
Banks,1435751801,29,2c439,1,The 405,193,Someone New(esta Remix),pop
The Chainsmokers,1435756869,283,2c3pm,2,Inyourspeakers Media,112,Roses feat. Rozes,pop
POWERS,1435753292,4176,2bx78,20,Pick Up The Headphones,233,Loved By You,pop
Azure Blue,1435753302,45,2a26m,10,beehype,280,Tragedy & Changes,pop
FANS,1435752867,14,2c02q,8,The Mad Mackerel,233,If God Is Real,pop
Schnipo Schranke,1435750506,6,2c42y,1,mapambulo,330,Schrank,pop
Jimmy Eat World,1435768963,6,2c48g,1,Stereofox,190,Nothingwrong,pop
Theo Berndt,1435728955,15,2ag96,2,Niche Music,188,Stop Pretend,pop
The Heart Strings,1435738447,33,2c1kk,3,Site of Sound,152,Beautiful Abyss,pop
Samantha Urbani,1435811301,91,2bzsq,14,Felinno,193,U Know I Know,pop
Misun,1435815746,3707,2avbn,23,Indie Underground,297,After Me,pop
Daniel Crawford,1435787355,16,2c4fh,1,A Grumpy Old Man With A Beard,224,8. Electric Felaxation,pop
Doss,1435788539,64,25dkx,5,music islands,204,Softpretty (Ellie Herring Remix),pop
Ana Zimmer,1435782098,55,2btx7,6,El Tino,218,Young and Brave,pop
Banks,1435778727,10815,1xva8,25,NNM,165,Warm Water (Snakehips Remix),pop
Beach Beach,1435772956,15,250x7,3,malennachbruchzahlen,166,Just Like Before,pop
One T & Cool T,1435764971,1010,2bxam,5,Silence Nogood,232,The Magic Key (LeMarquis & FAB Remix),pop
Priest,1435760936,11,2c45f,1,Word Is Bond,206,Don't Worry (Produced by Blunted Beatz),pop
Laurence,1435756885,8,2bjh4,2,Orange Peel,145,Civic Video Love Song,pop
J Fernandez,1435752855,167,2bffe,13,The Mad Mackerel,237,Between The Channels,pop
Vanbot,1435659256,167,2am7b,23,Ja Ja Ja,213,Seven,pop
Andreas Moe,1435673239,4,2c3hk,1,MusikBlog,213,Borderline,pop
ASTR,1435636162,920,2bw1f,11,gottadancedirty,281,Activate Me (LEFTI Remix),pop
Vanbot,1435659261,175,2b1mb,14,Ja Ja Ja,225,The Way You Say It,pop
MAS YSA,1435612585,723,2b9cv,18,the bay bridged,218,Margarita,pop
Sade,1435608925,95,28yga,3,ERRANT,490,Pearls (Timo Jahns Remix),pop
Wild Ones,1435610984,739,2bs2a,10,The Burning Ear,249,Dim the Lights,pop
DOJA CAT,1435603812,19,2c371,1,Keep On Repeat,240,"8th"" feat. Tru Heru (PROD. HEEMGOD)",pop
Linden,1435604414,4,2aw25,5,When You Motor Away,162,Rest And Be Thankful,pop
Runabay,1435706491,4,2c3ws,1,Chordblossom,309,June,pop
Andreas Moe,1435710099,12,2c3xd,1,Winnie Cooper,367,Step Down From It (Alex Killin,pop
Nova and the Experience,1435699279,64,2bx2g,5,The Burning Ear,208,Whole Body,pop
Kentö,1435699269,1,2c3tp,1,Pick Up The Headphones,208,We Are Fire,pop
Bruno Mars,1435687691,60,2c3pg,1,Indie Shuffle,124,Marry You (Donald Glover Cover),pop
MØ,1435690599,15459,22f24,48,Slow Show,230,Say You'll Be There,pop
BØRNS,1435723627,14,2c3zh,1,Noisey,251,"10,000 Emerald Pools (The Young Professionals Remix)",pop
Niagara,1435688940,3,2c3q0,1,Ambiance Jeune,644,Sangandongo (Part.2),pop
Lauryn Peacock,1435680655,18,2bvss,4,The Autumn Roses,368,Quiet Moments,pop
Blackbear,1435683390,60,2c3mm,1,Music You Wanna Listen To,249,Idfc (Tarro Remix),pop
Fitness Club Fiasco,1435623688,25,2bzhr,3,acid stag,260,Ghost Dance,pop
Bad Rabbits,1435505745,29,2c195,3,Write.Click.Cook.Listen ,230,Here To Stay,pop
ILOVEMAKONNEN,1435524545,260,2c2f1,7,stereogum,176,Where Your Girl At? (produced By RICHIE SOUF),pop
Halsey,1435448531,5555,2c2k1,1,POP ON AND ON,225,Hurricane (Arty Remix),pop
Junia,1435500450,11,2bymk,2,The Smoking Section,284,T - Eye Mean (prod Junia-T) feat. Tassnata & Brevner,pop
Scavenger Hunt,1435432866,30,2c049,2,CLICK AND LISTEN IT,265,Till I See a Sign,pop
Northern American,1435428130,18,29pc7,6,Muzyczne Wędrowanie,308,Elysian,pop
Gladys Knight,1435429688,20,2c2h8,1,Yagotamullet's Song of the Day,181,The Nitty Gritty,pop
Ella Eyre,1435405814,88,2c2dj,1,Indie Shuffle,199,If I Go (Cadenza Remix),pop
Frida Sundemo,1435410190,27,2c2e9,1,Music You Wanna Listen To,259,A Million Years (neukreis remix),pop
Your Heart Breaks,1435596136,0,2c349,1,ninebullets,126,1999,pop
R.A.B.B.I.I.,1435600900,58,2bnt5,8,Indietronica,238,Hang Us High,pop
The Drums,1435583696,405,265r5,2,KEXP Blog,290,I Can't Pretend,pop
Kamera,1435584949,0,2c31h,1,The Ransom Note ,270,SR (PH45),pop
Hipsway,1435571364,6,1bqxh,2,The 'Spill,265,The Honeythief (12'' Mix),pop
Janet Jackson,1435573820,935,2bzsd,10,Secret Delivery,206,No Sleeep,pop
Kidsmoke,1435569672,2,2c2wv,1,Too Many Blogs,285,Another World,pop
Kelis,1435567335,833,23px8,10,Indie Shuffle,315,'Runnin' (Machinedrum Remix),pop
ASTR,1435541720,55,2c076,5,acid stag,285,Activate Me (Figgy Remix),pop
Kidsmoke,1435569668,2,2c2wt,1,Too Many Blogs,202,Make The Right Move,pop
I'm Not A Band,1435432465,40,2c2hr,1,Et Musique Pour Tous,211,Cages (Frider Neumann Radio Mix,pop
Sean Nicholas Savage,1435331702,18,2c11n,8,Impose,195,Casablanca,pop
Stars and Rabbit,1435336091,2,2bjgv,2,deathrockstar,235,The House,pop
Steven A. Clark,1435317700,1460,24a44,12,The Revue,247,Lonely Roller,pop
Northern American,1435317729,68,2ap9a,8,The Revue,171,Modern Phenomena,pop
New Order,1435295668,336,xbxp,5,THE VINYL VILLAIN,355,True Faith,pop
Ruby Amanfu,1435271715,17,2c073,4,The Autumn Roses,261,Streetlights,pop
New Order,1435295647,85,1h453,3,THE VINYL VILLAIN,280,Leave Me Alone,pop
Tica Douglas,1435256499,27,299jw,5,The Deli Magazine,217,I Didn't,pop
CULTFEVER,1435262216,41,2bd4h,4,Escafandrista Musical,260,Youth,pop
Sugar & The Hi Lows,1435360890,26,2b7x5,2,Free Indie,211,High Roller,pop
ASTR,1435391770,787,2bp6n,7,Prefix Magazine,285,Activate Me (Hoodboi Remix),pop
ABRA,1435347760,47,2c291,1,Pitchfork,218,ROSES XOXO,pop
Jean Deaux,1435351333,2,2c071,2,The Smoking Section,146,War Cry (snippet) Prod. by THEMPEOPLE,pop
Shura,1435343105,982,2bzty,10,DIY,443,White Light (Gabe Gurnsey Factory Floor Remix),pop
Gavin Turek,1435350704,32,2by34,3,Cause=Time,269,Don't Fight It (starRo Remix),pop
Harriet,1435345625,5,2c28d,1,Prefix Magazine,169,Ten Steps (Moon Bounce Remix),pop
Hubert Kah,1435343090,4,2c27t,1,Audio Drums,212,Machine,pop
Sinead Harnett,1435335273,35,2bnk4,4,Kick Kick Snare,218,High Wire (Wet Paint Remix),pop
Darwin Deez,1435339765,105,2bk7m,14,surviving the golden age,200,Kill Your Attitude,pop
Sans Sebastien,1435315010,5,2c1z8,1,Vocododo,310,PACIFIC,pop
