acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mediaid,speechiness,tempo,time_signature,valence
0.012678,0.79577,236.35955,0.781339,0.0,0.211025,-5.102,121jz,0.100301,100.043,4,0.865418
0.035599,0.482787,229.89333,0.803893,2e-06,0.073578,-3.452,124sg,0.050133,73.048,4,0.802917
0.02948,0.572629,291.89288,0.808985,0.000136,0.126605,-5.493,12ewk,0.088265,139.965,4,0.159311
0.017943,0.511752,342.52803,0.759909,0.002598,0.19648,-7.252,13n5s,0.034811,99.975,4,0.164936
0.400847,0.538488,286.61288,0.830428,0.431818,0.139869,-10.401,13smw,0.033679,140.01,4,0.664269
0.00793,0.125534,222.40707,0.797908,0.237136,0.221251,-5.62,143rp,0.042378,188.718,3,0.136422
0.007415,0.568272,152.37288,0.831282,0.113621,0.401312,-8.11,15wcb,0.25011,132.467,4,0.42879
0.237677,0.61513,232.62621,0.893378,0.0,0.648572,-4.637,15xt6,0.217407,143.063,4,0.558946
0.003715,0.465509,222.87955,0.262,0.000288,0.35463,-20.021,16hr5,0.031718,105.083,4,0.147404
0.972191,0.783575,182.18662,0.371595,0.005422,0.082732,-12.364,16nnm,0.038787,114.886,4,0.450266
0.489551,0.714186,217.61696,0.521553,0.056962,0.242074,-9.333,17610,0.031527,110.301,4,0.836997
0.006624,0.515173,352.09252,0.751817,0.454157,0.360213,-6.345,1789c,0.035427,124.002,4,0.209154
0.019935,0.488208,245.05424,0.347232,0.0,0.191873,-16.813,179kx,0.031991,103.394,4,0.42127
0.055476,0.58178,231.53288,0.743294,0.0,0.287982,-6.986,17hp9,0.046127,133.165,4,0.497447
0.600122,0.866623,207.85288,0.633393,0.019092,0.08598,-8.576,17nvy,0.034651,100.011,4,0.831879
0.037006,0.531086,339.93288,0.702068,0.668662,0.118367,-6.476,17pn7,0.027189,79.992,4,0.395679
0.16548,0.378785,348.42077,0.698796,0.012857,0.094599,-6.285,17zay,0.038617,120.339,3,0.441998
0.001229,0.639199,196.88444,0.893394,0.0,0.390576,-7.519,18a02,0.177321,170.028,4,0.605909
0.321252,0.592958,269.42667,0.562395,0.162623,0.158186,-7.194,18bt7,0.026668,138.023,4,0.475186
0.035088,0.529886,222.69333,0.735937,0.00114,0.320414,-4.772,18c30,0.02945,108.545,4,0.41747
0.438779,0.587971,132.45497,0.508095,1e-06,0.135029,-8.04,18kgj,0.029389,82.029,4,0.507679
0.126427,0.542362,220.87955,0.954117,0.0,0.090089,-5.145,1993j,0.246728,92.206,4,0.432936
0.047602,0.732414,319.20254,0.779655,0.249492,0.217323,-3.768,19dre,0.050939,100.015,4,0.731101
0.134478,0.460611,295.5512,0.894225,4e-06,0.097663,-3.55,19jvd,0.246499,139.937,4,0.580079
0.000763,0.490729,231.95955,0.65096,0.79334,0.109904,-5.032,19k2h,0.029173,139.879,4,0.487084
0.012802,0.503763,205.58621,0.727474,0.0,0.120668,-6.127,19p5w,0.033263,136.057,3,0.485706
0.141985,0.594255,305.32757,0.812101,0.000242,0.166403,-5.135,19qx6,0.056302,140.016,4,0.140988
0.012802,0.503763,205.58621,0.727474,0.0,0.120668,-6.127,1a8rj,0.033263,136.057,3,0.485706
0.012802,0.503763,205.58621,0.727474,0.0,0.120668,-6.127,1a8tr,0.033263,136.057,3,0.485706
0.14373,0.605672,319.07955,0.524796,0.00136,0.400827,-12.869,1aajv,0.0513,120.014,4,0.44219
0.13617,0.714774,211.82621,0.576897,0.007518,0.404477,-7.346,1aasq,0.028045,123.965,4,0.800163
0.049165,0.553498,232.25288,0.654229,0.0,0.12658,-6.778,1aavz,0.033745,88.05,4,0.382445
0.051559,0.288047,245.89288,0.952017,0.04925,0.219186,-6.004,1achw,0.14374,173.001,4,0.62917
0.000536,0.810906,430.99383,0.749447,0.885911,0.101984,-8.23,1adc0,0.062747,126.995,4,0.398944
0.077693,0.414901,320.57556,0.565883,2.1e-05,0.078799,-15.194,1aez0,0.517464,94.093,4,0.505597
0.001945,0.48246,153.12934,0.795885,0.569694,0.472455,-6.028,1af10,0.073589,169.897,4,0.37768
0.021026,0.553607,220.34649,0.7511,0.0,0.269508,-5.881,1ahcr,0.067103,127.935,4,0.416031
0.235527,0.445332,439.68,0.50189,0.336523,0.132851,-9.514,1akfa,0.031343,103.331,4,0.488773
2e-06,0.39358,219.35955,0.914954,0.408191,0.119099,-4.963,1aq2h,0.045455,131.795,4,0.763154
0.125977,0.50619,266.65288,0.571103,2e-06,0.041341,-6.266,1awtf,0.031637,148.785,4,0.52097
0.000621,0.590829,322.55955,0.807504,0.014278,0.31475,-6.52,1b24j,0.059706,128.091,3,0.338208
0.014166,0.496322,308.98667,0.732776,0.000436,0.137609,-6.553,1b4px,0.026965,96.629,4,0.238154
0.008214,0.621995,324.25333,0.891161,0.858007,0.093756,-6.824,1b4ry,0.058925,124.009,4,0.416448
0.674921,0.655719,316.83955,0.436166,0.108383,0.138119,-11.543,1b57r,0.029459,127.219,4,0.149766
0.100145,0.631136,178.75955,0.714062,0.397811,0.30009,-6.576,1b6a2,0.045522,129.033,4,0.580195
0.062071,0.252737,257.07955,0.786842,1e-06,0.163661,-6.163,1b7qh,0.036507,147.275,3,0.546587
0.71508,0.370122,197.16,0.443061,0.0,0.327426,-9.081,1b7zm,0.033156,72.334,4,0.282628
0.325869,0.585073,320.12744,0.830828,0.000171,0.082183,-5.544,1b89w,0.193288,80.009,4,0.325993
