artist,loved_count,mediaid,posted_count,sitename,time,title,loved
"Drake Feat. Kanye West, Lil Wayne & Eminem",2417,v81m,8,Citizen Insane,359,Forever,True
Public Enemy,3783,tjvw,4,The Music Ninja,287,He Got Game,True
Ratatat,750,p8gq,6,The ill-ec-tro-nic,597,Mirando (Animal Collective remix),True
Jay-Z,402,vaqp,2,earmilk,151,Hate f. Kanye West,True
The Phenomenal Handclap Band,1017,ry1x,19,Tympanogram,254,Baby,True
Discovery,5958,smgf,15,The Panic Manual,158,Swing Tree,True
We Were Promised Jetpacks,2779,rram,31,The New LoFi,289,It's Thunder And It's Lightning,True
The xx,3934,v434,24,Off the Radar,261,Shelter (Them Jeans Drum Edit),True
Miike Snow,523,v4va,2,the burning ear,525,Animal (Fred Falke Remix),True
The Spinto Band,975,2ywv,23,The Opening Acts,215,Oh Mandy,True
Santogold,3679,j6kn,33,the culture of me,160,I'm A Lady (Diplo Mix Ft Amanda Blank),True
Super Mash Bros.,2636,qsy1,4,Mashup of the Week Podcast,117,I Fucking Bleed Purple And Gold,True
Pony Pony Run Run,1282,rbgk,11,Faronheit,193,Hey You,True
Fever Ray,1118,p6r0,24,The 405,505,If I Had A Heart (Fuck Buttons Remix),True
Eminem,1946,q92d,9,Squeegie,278,Crack A Bottle (DiscoTech Remix),True
Arcade Fire,748,rb48,5,It All Started With Carbon Monoxide,99,Wake Up (alternate version),True
Chester French,1503,td31,11,the burning ear,354,She Loves Everybody (Pance Party Remix),True
Vampire Weekend,12824,q66h,28,Sunset in the Rearview,294,The Kids Don't Stand A Chance,True
MGMT,423,trt6,1,Rollo & Grady,252,Hot Love Drama,True
Of Montreal,2466,ec8e,21,Music From Go to Whoa,231,Jimmy,True
Santigold,1244,trz4,5,Et Musique Pour Tous,112,I'm a Lady (Benny Blanco Remix),True
The Bloody Beetroots,3782,t624,21,redthreat,153,4.AWESOME FEAT THE COOL KIDS,True
Alex Metric,307,t9ww,5,funkism,282,Shirley You Can't Be Serious,True
MSTRKRFT feat. John Legend,11593,t97p,4,All Things Go,390,Heartbreaker (Wolfgang Gartner remix),True
Madvillain,1703,t9w2,14,Indie Shuffle,166,Money Folder (Four Tet Remix),True
Fleet Foxes,218,mswq,4,Misspeak Music,275,Mykonos,True
Discovery,5109,rknb,40,music islands,242,Osaka Loop Line,True
Passion Pit,4880,qxfq,62,The New LoFi,288,The Reeling,True
N.A.S.A.,6057,14zc9,19,Audio Muffin,219,"Gifted feat. Kanye West, Santogold & Lykke Li",True
Kings Of Leon,3378,jgex,45,indie rocker revolution,204,Sex On Fire,True
Dan The Automator,525,t6f6,6,Sundtrak,311,Rapper's Delight (Van She Tech remix),True
La Roux,357,t6a3,10,D SQUARED,333,Bulletproof (Larry Tee & Alexander Technique Blogula Remix),True
Deadmau5 vs 2livecrew,397,tg8y,3,Schitz Popinov,315,Moar Face (O-GOD edit),True
Ellie Goulding,16574,wqxb,32,The Music Ninja,199,Sleepyhead (feat. Starsmith) (Passion Pit Cover),True
Matt & Kim,12779,mqap,84,Noonday Tune,171,Daylight,True
Atlas Sound,655,texx,17,djnodj,239,Walkabout,True
Lou Reed,3368,5fwm,17,J(am) of the Day,253,Walk On The Wild Side,True
M83,3464,1cjz9,22,Indie Shuffle,303,We Own The Sky,True
Kings Of Convenience,1196,tefc,13,Pigeons and Planes,176,Mrs. Cold,True
Sufjan Stevens,4101,34d8,63,T S U R U R A D I O,363,Chicago,True
Boys Noize,3669,scx3,20,Salacious Sound,255,Jeffer,True
MSTRKRFT,12417,syn4,10,Indie Shuffle,194,Heartbreaker (feat. John Legend),True
The Verve Vs. Jay-Z,8589,w7mw,12,A Pocket Full Of Seeds,304,Brush Your Bitter Sweet Shoulders Off,True
Jay-Z & Beanie Sigel,2614,rhs4,5,djnodj,229,Glock Nines (Ratatat Remix),True
Phoenix,2098,s486,27,The Indie Music Database,242,Lisztomania,True
Deadmau5 & Kaskade,7982,rh43,18,ilictronix,335,I Remember (Radio Edit),True
MGMT,251,tb9n,1,The 405,225,Destrokk,True
French Horn Rebellion,1259,sh97,10,POSTMUSIC,286,Beaches and Friends (Hey Champ Remix),True
