mediaid,tags
2c7nh,"chillwave,electronic,lo-fi,psychedelic,electronica"
2c7sr,"hiphop,instrumentalhiphop,beats,instrumental,australian"
2c814,"minimal,electronic,deephouse,house,techno"
2c856,"hiphop,canadian,rap,indie"
2c86x,"surfrock,indierock,indie,lo-fi,psychedelic"
2c87x,"electronic,dubstep,instrumental,chillout,glitch-hop,glitchhop"
2c8bm,
2c8dr,"psychedelicrock,alt-country,indie,indierock,folkrock,australian,wanted,checkout"
2c8mh,
2c8tv,"electronic,soul,rhythmandblues,experimental,alternative"
2c8w1,"tropicalhouse,deephouse"
2c8y2,
2c8z5,
2c8za,"electronic,indie,electropop,electronica,electro"
2c93r,"electronic,dubstep,futuregarage,ukgarage,wonky"
2c9gy,"trap,chilltrap,underground,bass,vaporwave,futuresoul,-,atmospheric,chill,beats"
2c9kx,"rock,ambient,pop,electronic,alternative,scottish,glasgow,australian,drone,dronedoom"
2c9pg,"indie,indierock,chillrock,psychodelicpop"
2c9sz,"hiphop,rap,rhythmandblues,canadian"
2c9xp,"instrumentalhiphop,hiphop,australian,downbeat,electronic,downtempo,chillout,aussiehiphop"
2c9yf,"synthpop,electronic,newwave,electropop,femalevocalist"
2ca1j,"dance,disco,eurodance,pop,whitelion,italian,synthpop,italia,miketramp"
