loved,posted_count,loved_count,artist_index_mod,speechiness,loudness,tagsum,artist,title,sitename,mediaid,site_index_mod,tagsum_raw
FALSE,0,0.00013161,0,0,0.949238139,0.125,ryanadams,Caribbean Queen (Billy Ocean cover),Cover Me,1bdkk,0,1
FALSE,0,0.000157932,0,0,0.949238139,0.125,ryanadams,Head Over Heels (Tears For Fears),Largehearted Boy,1bem2,0,1
FALSE,0,7.90E-05,0.5,0,0.949238139,0.25,jasonisbell,Hey Pocky Way (The Meters),Berkeley Place,1bemj,0.5,2
FALSE,0,0,0.333333333,0.041734,0.621868868,0.125,williamelliottwhitmore,run johnny run,captain's dead,1bera,0,1
TRUE,0,0.000105288,0.333333333,0,0.949238139,0.125,williamelliottwhitmore,what u do,captain's dead,1berf,0,1
FALSE,0,0.000210576,0.333333333,0,0.949238139,0.125,williamelliottwhitmore,shotgun,captain's dead,1berk,0,1
FALSE,0,0.00026322,0,0,0.949238139,0.125,nekocase,Misfire (Queen cover),Town Full of Losers,1bgn6,0,1
TRUE,0.269058296,0.426285173,1,0.182479,0.823271384,0.375,metric,Monster Hospital (MSTRKRFT Remix),earmilk,1bp6,1,3
TRUE,0.044843049,0.001026559,1,0.031206,0.767574743,0,thedevilwhale,Standing Stones,Tough Customer // Wire,1bptt,0,0
FALSE,0,0.000236898,0,0,0.949238139,0.375,mymorningjacket,Movin Away (5.31.11),Troubled Souls Unite,1bx5q,0,3
FALSE,0.013452915,0.000342186,0,0,0.949238139,0.625,caitlinrose,Faithless Love,Teenage Kicks,1bxj3,0,5
TRUE,0.094170404,0.091153168,0,0.031657,0.757330024,0.375,m83,We Own The Sky,Indie Shuffle,1cjz9,0.47826087,3
TRUE,0,0,0,0.031087,0.55483089,0.25,howardicebergthetitanics,The Wrestler,ninebullets,1csa5,0,2
TRUE,0.098654709,0.665131215,0.5,0,0.949238139,0.375,kanyewest,Get Em High (Ratatat Remix),Silence Nogood,1cxw,0.583333333,3
FALSE,0.013452915,0.182306336,0,0,0.949238139,0.125,deadmau5,Double Life Of Mau5e (Skrillex Mix),Your Music Radar,1d055,0.333333333,1
TRUE,0.01793722,0.07764997,0.5,0.173701,0.686598176,0.375,hoodieallen,Song For An Actress,The Jackplug,1d7tj,0.5,3
TRUE,0.430493274,0.449290621,0,0.042391,0.500490592,0.125,neonindian,Polish Girl,Vocododo,1ddwn,0,1
TRUE,0.116591928,0.085414967,1,0.030693,0.717851783,0.25,chromeo,When the Night Falls (feat. Solange Knowles) (Mayer Hawthorne Cover),Et Musique Pour Tous,1dfpn,0.833333333,2
FALSE,0.01793722,0.154562923,0,0,0.949238139,0.125,davidguettaafrojack,Lunar (Original Mix),This Bonus Track,1dp5k,0,1
FALSE,0,0.066910584,0,0,0.949238139,0.5,yonas,I Need A Dollar,Sunset in the Rearview,1dw12,0,4
FALSE,0.053811659,0.2031797,0.333333333,0.031934,0.720189311,0.5,florencethemachine,What The Water Gave Me,blahblahblahscience,1dwev,0.444444444,4
TRUE,0.013452915,0.140401674,0,0,0.949238139,0,nervoafrojacksteveaokicheyennegilesedit,We're All No One,D SQUARED,1dwf0,0,0
TRUE,0.139013453,0.529809692,0,0.100951,0.414896687,0.125,zedsdead,Coffee Break,Muros de Absenta,1e2kk,0,1
TRUE,0.01793722,0.066831618,0.333333333,0.029107,0.726740159,0.75,thedrums,Days,The Digital Outhouse,1e7j4,1,6
TRUE,0.188340807,0.069700719,0,0.043668,0.809881104,0,classactress,Weekend,Thought on Tracks,1e85t,0,0
FALSE,0.040358744,0.126161459,0,0,0.949238139,0.25,tpain,5 O'clock (feat. Wiz Khalifa & Lily Allen),One A Day,1e8a9,0,2
TRUE,0.058295964,0.045036982,0,0,0.949238139,0,drakewakaflocka,Round of Applause,EARMILK,1e9hp,0,0
FALSE,0.147982063,0.145271248,0.5,0.037083,0.779406672,0.25,justice,Helix,Stoney Roads,1eahn,0,2
FALSE,0.058295964,0.573820115,0.7,0,0.949238139,0.125,thewhitepanda,Midnight Life (Kanye West vs. M83),Silence Nogood,1ebcm,0.583333333,1
FALSE,0.035874439,0.088889474,0,0,0.949238139,0.25,jcole,Nobody's Perfect (feat. Missy Elliott),Avenge the Virgins,1egj6,0,2
TRUE,0.076233184,0.089310626,0,0.086992,0.765496941,0.375,therapture,How Deep Is Your Love (A-Trak Remix),Nashville Nights,1epjs,0,3
TRUE,0.01793722,0.155220973,0,0,0.949238139,0.25,ericprydz,2Night (Original Mix),One A Day,1erev,0,2
TRUE,0.01793722,0.065357585,0,0.045618,0.639501327,0.125,peterandkerry,Knees,New Music Collaborative,1espa,0,1
TRUE,0.00896861,0.051670132,0,0.034849,0.84520374,0.125,camokrooked,Far Away,AudioCred,1espe,0,1
TRUE,0.031390135,0.075623174,0,0.094391,0.466091423,0.625,voltabureau,Alley Cat,Dancing Astronaut,1etbs,0,5
FALSE,0.01793722,0.166644732,0,0.167725,0.652631883,0.375,dveloped,My Dangerously Melodic Anthem,Sunset in the Rearview,1f3cm,0.545454545,3
FALSE,0.040358744,0.101050249,0,0,0.949238139,0.25,jayzkanyewest,Niggas In Paris (feat. T.I.) (Remix),Cougar Microbes,1f4am,0,2
FALSE,0,0.128161933,0,0,0.949238139,0,overnightcelebritythrill,Wiz Khalifa feat. Twista & Kanye West,AudioCred,1f4xt,0,0
FALSE,0.049327354,0.238056382,0,0,0.949238139,0.375,grouplove,Colours (Xaphoon Jones Remix),EARMILK,1f4xw,0,3
TRUE,0,0.090152931,0,0.06249,0.743218285,0.125,madeon,Icarus,blahblahblahscience,1f545,0,1
TRUE,0.161434978,0.107235924,0,0.087685,0.778714071,0.5,theroots,Make My,AudioCred,1f5yf,0,4
TRUE,0.147982063,0.069095312,0,0.207681,0.469265843,0.625,violentfemmes,Blister in the Sun,THE VINYL VILLAIN,1faj,0,5
FALSE,0.053811659,0.395225185,0,0,0.949238139,0.125,bastille,What Would You Do? (City High Cover),JayeL Audio Music,1fbqe,0,1
TRUE,0.040358744,0.168671527,0,0,0.949238139,0.125,lips,Everything To Me (Adventure Club Dubstep Remix),EARMILK,1ffe4,0,1
TRUE,0.01793722,0.129978153,1,0.393506,0.801916195,0.25,wale,Ambition (feat. Meek Mill & Rick Ross),EARMILK,1ffz9,0.692307692,2
TRUE,0.004484305,0.04943276,0,0.161852,0.860354381,0.375,saukrates,Say I,The Music Ninja,1fg3p,0,3
FALSE,0.004484305,0.0957332,0,0,0.949238139,0,aviciidavidguettaspecialfeaturesmaxcpetesweat,Avicii Ft Guetta - Sunshine Special Features ( Pete Sweat - I Found U In Sunshine ),aerial noise,1fg49,0,0
TRUE,0.031390135,0.043483983,0,0,0.949238139,0,youngjeezy,I Do (Featuring Jay-Z & Andre 3000 ) (No Tags),AudioCred,1fz16,0,0
FALSE,0.053811659,0.17846332,0,0,0.949238139,0,birdy,1901 (Phoenix Cover),The Morning After,1fz31,0,0
FALSE,0.031390135,0.119028191,0,0.043918,0.7901997,0.5,mikeposner,Looks Like Sex,Pick Up The Headphones,1g53y,0,4
TRUE,0,0.066305178,1,0,0.949238139,0.375,lupefiasco,"Super Cold (Raak Remix) (Feat. Ab-Liva, Asaad & Gilbere Forte)",blahblahblahscience,1g5hj,0.444444444,3
FALSE,0,0.05553947,0,0,0.949238139,0,ariondubstep,I'm Coming Home ( Diddy feat. Skylar Grey),Penned Madness,1g5vx,0,0
TRUE,0,0.118686005,0,0,0.949238139,0,odjbox,Birmingham,Music For Morons,1g60h,0,0
TRUE,0,0.048748388,0,0.032093,0.653872792,0.375,thehorriblecrowes,sugar,The New LoFi,1g64b,0,3
TRUE,0.01793722,0.032507699,0,0.040994,0.660654508,0,charlottegainsbourg,Out Of Touch,Faded Glamour,1g6nk,0,0
TRUE,0.049327354,0.424837462,0,0,0.949238139,0,dveloped,Bring Em Home (Edward Sharpe // T.I.),djnodj,1g7c9,0.833333333,0
FALSE,0.02690583,0.203864073,0,0,0.949238139,0.25,mashupgermany,Top of the Pops 2011 (What The Fuck),Silence Nogood,1g7r0,0,2
TRUE,0.035874439,0.031849649,0,0,0.949238139,0.125,ke$ha,"Sleazy Remix 2.0 - Get Sleazier (feat. Lil Wayne, Wiz Khalifa, T.I. & Andr̩ 3000)",Minneapolis Fucking Rocks,1gff0,0,1
TRUE,0.02690583,0.01821484,0,0,0.949238139,0,skiztherapper,Shangri-La,The Jackplug,1gght,0,0
FALSE,0.00896861,0.131188966,0,0,0.949238139,0,gymclassheroesfeatneonhitch,Ass Back Home (Black Cards Remix),the burning ear,1gh6m,0,0
FALSE,0.587443946,0.052723013,0,0.046927,0.655200277,0.125,lowerdens,Brains,MUSIC BETWEEN FRIENDS,1hcvp,0,1
TRUE,0.071748879,0.380116343,0,0.220486,0.684520374,0,klangkarussell,Sonnentanz,The Music Ninja,1jgv0,0,0
