,artist,loved_count,mediaid,posted_count,sitename,time,title,loved
99,Janet Jackson,908,2bzsd,10,Secret Delivery,206,No Sleeep,False
100,The Drums,396,265r5,2,KEXP Blog,290,I Can't Pretend,False
101,American Authors,13832,229ha,8,I Heart Moosiq,292,Best Day Of My Life (Just A Gent Remix),False
102,Astrid S,5121,2b9zs,3,JayeL Audio Music,235,2AM (Matoma Remix),False
103,BebeRexha,2215,28h1t,4,Electric Panda Music,208,I'm Gonna Show You Crazy,False
104,Ishinohana,3162,2aybj,8,Electrocorp ,317,Lucía (John Talabot's Sunset edit),False
105,Oh Wonder,3771,2b8z0,10,gottadancedirty,263,Midnight Moon (Melvv Remix),False
106,Sia,7158,2bbc8,3,Your Music Radar,216,California Dreamin,True
107,TroyBoi,2843,2ba6s,2,Indie Shuffle,201,Do You feat. Armani White (Remix),False
108,diplo,8178,2baq6,18,Never Radio,285,Bitch Better Have My Money (Diplo & Grandtheft Remix)OFFICIAL,False
109,Tove Lo,6349,2b92r,4,JayeL Audio Music,278,Talking Body (Jax Jones Remix),False
110,Gigamesh,5329,2b9xa,9,The Jackplug,291,The Music,False
111,Years and Years,5799,2b8xm,28,Getintothis,254,Shine,False
112,Lemon.,715,2c063,4,"Quick, Before It Melts.",165,Better For You,False
113,Moullinex,796,2c03e,7,Y Este Finde Que,370,Take A Chance (Satin Jackets Remix),False
114,Courtney Barnett,493,29w6h,4,said the gramophone,293,Depreston,True
115,Tuxedo,415,2c1r6,6,The French Shuffle,238,Without Your Love,False
116,Dusky,495,2bznk,6,Mixmag,384,Skin Deep,True
117,Mammút,143,229wz,14,MusikBlog,345,Salt,False
118,Monster Rally,316,247x6,2,music islands,219,Chin-don-ya,True
119,Kelis,792,23px8,10,Indie Shuffle,315,'Runnin' (Machinedrum Remix),False
120,Wiz Khalifa Feat. Charlie Puth,5360,2azcr,5,EDM Girl,223,See You Again (Ale Mora Remix),False
121,ALESSIA,11457,2b0gs,21,J(am) of the Day,200,HERE,False
122,The Roots,4073,1f5yf,37,AudioCred,272,Make My,True
123,LIPS,6403,1ffe4,10,EARMILK,244,Everything To Me (Adventure Club Dubstep Remix),True
124,In The Valley Below,4128,1rmtg,5,Indie Shuffle,287,Peaches,True
125,Ratatat,7808,4t74,43,TheMusic.FM,266,Seventeen Years,True
126,poka,1235,1410v,3,Delicieuse Musique,248,99 style,True
127,The Knocks,775,skyq,10,Cities of the Plain,279,Can't Shake Your Love,False
128,Trampled By Turtles,1476,110ex,15,SUCKA PANTS,205,Wait So Long,True
129,Oasis,1763,45qw,17,Popdose,290,Don't Look Back in Anger,True
130,French Montana,665,2c10q,5,Discobelle,229,Gucci Mane (feat. Lil Wayne & Rick Ross) (prod. by Kanye West),True
131,Harrison Brome,2310,2bq1c,10,Indie Underground,218,Fill Your Brains (Master),False
132,Chance The Rapper,1207,296pt,2,Inyourspeakers Media,225,Sunday Candy Feat. The Social Experiment,False
133,Iron & Wine and Ben Bridwell,2423,2bzr3,18,Revista Metrónomo,213,This Must Be The Place (Naive Melody),False
134,BECOME X Elohim,2052,2c0y2,13,acid stag,160,She Talks Too Much,False
135,COMPNY,1565,2bzm1,25,Little Indie Blogs,233,Gently Let You Down,True
136,Years & Years,4084,2c221,4,POP ON AND ON,240,King (Lash Remix),False
137,Little Giants,4678,2c228,5,Lipstick Disco,320,"Lately (Love, Love, Love) (Monsieur Adi Remix)",False
138,Favored Nations,2008,2by5n,6,Wonky Sensitive,211,Always,False
139,Fatima,355,24te4,1,Don't Need No Melody,325,Biggest Joke Of All,False
140,SZA feat. Chance The Rapper,7013,23c5d,42,The 405,216,Childs Play,False
141,Addal feat. Lisa May,3152,2c08j,5,Beautiful Buzzz,325,Morning In Love (Original Mix),False
142,Will Joseph Cook,2255,2c0vf,22,Beat2aChord,177,Beach,False
143,Shura,966,2bzty,10,DIY,443,White Light (Gabe Gurnsey Factory Floor Remix),False
144,Kendrick Lamar,6377,2c2a8,3,Music You Wanna Listen To,204,i (Carneyval & INSTRUM Remix),False
145,The Weeknd,2452,2c298,2,Caveman Sound,300,Can't Feel My Face (Keljet Edit),False
146,"Kehlani, G-Eazy, IAMSU! and Lil B",2205,2bzxz,6,The Passion of the Weiss,235,Champion (Prod. by P-Lo),True
147,Lewis Del Mar,6697,2c0xq,13,Sonofmarketing,249,Loud(y),False
148,The Internet Music,3556,2c0ae,17,alltomorrowmusic,416,Girl feat. KAYTRANADA,True
149,Saint Motel,2741,2c15e,8,Audio Aquarium,280,My Type (Eau Claire Remix),False
150,RÜFÜS / RÜFÜS DU SOL,6536,2c1vt,14,Audio Drums,239,You Were Right,True
151,Little Giants,8122,2aynk,10,Abduction Radiation,212,"Lately (Love, Love, Love)",False
152,Discovery,3643,sqpk,40,Indieball,193,So Insane,False
153,"Drake Feat. Kanye West, Lil Wayne & Eminem",2418,v81m,8,Citizen Insane,359,Forever,True
154,Röyksopp,4965,27mzc,10,music is art,396,Thank You,False
155,Mitski,138,26mqp,13,Music Broke My Bones,205,Townie,True
156,Sea Oleena,997,25z92,32,Just Music That I Like,311,If I'm,False
157,Otis Redding,399,26eye,1,Yaqui,232,Sittin On The Dock Of The Bay (TEEMID Edit),True
158,Ratatat vs. Marvin Gaye,8067,1agk1,4,EARMILK,206,Ain't No Drugs High Enough The Jane Doze mashup),True
159,Daft Punk,1616,smtq,6,earmilk,322,Face to Face (Night Drugs Rework),False
160,Kid Cudi,22539,1b9zx,13,Indie Shuffle,164,Falling Star (R3K Remix),True
161,Beirut,6201,6fnn,78,Stereofox,257,Postcards From Italy,True
162,The Pharcyde,15218,205k2,19,Lautstark,290,Runnin' (Bit Funk Remix),True
163,Crooked Colours,2848,204z0,16,music is art,215,Come Down,True
164,UGK,2581,11f4z,23,The Music Ninja,257,Int'l Players Anthem (Feat. OutKast),True
165,Florence & The Machine,4749,27170,9,EDM Girl,263,You've Got The Love (Prince Fox Remix),False
166,Fake Blood,3542,12nm7,19,Penned Madness,319,I Think I Like It (Tommie Sunshine & Figure EC$TACY edit),True
167,Skrillex,9475,176za,17,aerial noise,305,Cat Rats,True
168,Clean Bandit & Jess Glynne,7273,26xhz,14,JayeL Audio Music,219,Real Love,False
169,Jaymes Young,6180,26x11,8,Ladywood ,250,I'll Be Good,False
170,Frankie Cosmos,187,22ky1,2,"Song, by Toad",93,My I Love You,False
171,HAERTS,2326,26by0,31,Indie Obsessive,258,Giving Up,False
172,Run The Jewels,4203,26khp,47,Too Much Love Magazine ,214,Oh My Darling Don't Cry,False
173,Bombay Bicycle Club,4826,21kgk,29,SFCritic,191,Luna,False
174,Tanya Tagaq,154,24s65,12,Chicago Reader,169,Uja,False
175,Steve Gunn,346,25e7m,14,Earbuddy,334,Milly's Garden,False
