artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Dez,1436894973,1,2cadj,1,The Up-Turn,125,"(tabs)onthemonorail (prod. GRiMM Doza, Ab$tract & KiP)",hiphop
ZZ Ward,1436895009,12,2cadp,1,Kick Kick Snare,253,LOVE 3X (Jamie Prado Remix),hiphop
RAMZI,1436889396,8,2c5dx,3,Tiny Mix Tapes,176,princess of cups,hiphop
Fetty Wap,1436891038,40,2cab3,1,Different Kitchen,220,RGF Island (Emkay Remix),hiphop
Keith Ape,1436886854,36,2c83s,2,Disco Filter,164,It G Ma (Spazzkid Bootleg)(Nest HQ,hiphop
Mad Kap,1436890459,3,2caac,1,raidersofthelosttrack,268,Proof Is in the Puddin' (Proof Remix),hiphop
Mardi Gras,1436876052,1,2ca5f,1,2 U I Bestow,316,Land of hope and dreams,hiphop
SHIRT,1436878178,21,2c8hw,3,Okayplayer,340,Cuba,hiphop
Migos,1436826917,744,29aem,11,First Ear,281,One Time (Prod. Deko),hiphop
SWEATSON KLANK,1436791358,6,2c9hv,1,ReqEffect,243,NIGHTCAP (XLR8R &,hiphop
Drake,1436792577,1598,2c964,3,Chart Attack,245,Sweeterman (Remix),hiphop
Paul Nice,1436791347,1,2c9hr,1,GRANDGOOD,286,Golden Crown / Fabreeze Brothers (feat. Oxygen),hiphop
Ceiling Demons,1436792165,4,2c9hw,1,The Walk to Work,218,Even If,hiphop
Rascal,1436793246,166,2a6jx,6,Genre Confused,281,Elhae's Joint,hiphop
Sami Switch,1436741809,10,2c9bs,1,When You Motor Away,314,Favourite Song,hiphop
ZZ Ward,1436741790,184,2c860,5,Dancing Astronaut,258,LOVE 3X (R3HAB Mix),hiphop
Flamingosis,1436714498,292,2c3c4,2,The Smoking Section,163,Finesse (Hey Baby),hiphop
Awon & Phoniks,1436722566,354,1z3v2,2,Indie Shuffle,208,Escaping Youth,hiphop
Sleepy,1436812516,1,2c9s2,1,Don't Need No Melody,179,Edelweiss,hiphop
Sleepy,1436812520,0,2c9s3,1,Don't Need No Melody,165,Razor Blades,hiphop
Time Crisis,1436811384,2,2c9n9,2,Consequence of Sound,612,Top 5 Singles on iTunes Now (7/12/2015),hiphop
Sleepy,1436812524,0,2c9s4,1,Don't Need No Melody,173,Razor Blades,hiphop
Young Fathers,1436811376,5,2c9rf,1,Sodwee,198,Nest,hiphop
YOUNG FATHERS,1436811331,612,2a263,33,Sodwee,251,Shame,hiphop
Wiley,1436814017,4,2c9t1,1,Shut Your Fucking Face And Listen,68,"'And Again' feat. God's Gift ""Taurus Scott Remix""(Clip)",hiphop
Cashy,1436806182,5,2c9ph,1,1833 FM,144,Who You Wanna Be (Prod. PurpDogg),hiphop
Lethal Dialect,1436803629,2,2c9ng,1,barrygruff,240,New Dublin Saunter feat. Jess Kav (prod. by Gerryboy),hiphop
Mumbles,1436806158,3,2c9pc,1,Tiny Mix Tapes,616,Skyscrapers,hiphop
Statik Selektah,1436791340,9,2c9hq,1,GRANDGOOD,201,"Wall Flowers (feat. Your Old Droog, Termanology & Lord Sear)",hiphop
k2k,1436562882,8,2c8xx,1,Soundfriend,186,bles,hiphop
Drake,1436572152,186,2c8en,2,Different Kitchen,156,Energy,hiphop
J Cole,1436561858,32,2c8xd,1,The Ripe,287,A Tale Of 2 Cities (2014 Forest Hills Drive),hiphop
Paul Chin,1436561863,40,2bt2j,2,The Ripe,297,Deep Jupiter (Shigeto Remix),hiphop
De La Soul,1436562460,156,2c51y,3,Cause=Time,374,Breakadawn (Rhythm Scholar Brand New Day Remix),hiphop
FETTY WAP,1436562470,87,2c8xj,1,Cause=Time,245,MY WAY (FLOSSTRADAMUS X 4B REMIX feat. DRAKE),hiphop
Rihanna,1436562491,199,2c4tv,2,Cause=Time,119,Bitch Better Have My Money (Nilo G Remix),hiphop
Hurt Everybody,1436556548,23,2c8vq,1,The Smoking Section,256,Stay Awake (feat. Mick Jenkins & Twista) prod Zen Zan,hiphop
Gorillaz,1436562433,38,2c8xf,1,Cause=Time,267,Feel Good Inc (Joe Maz & Adam Foster Remix),hiphop
Jay Rock,1436667671,33,2c96p,1,A Grumpy Old Man With A Beard,209,Gumbo,hiphop
S'natra,1436677625,39,2azq8,2,Dingus,204,Know This World (Prod. By Ivan Jackson),hiphop
ZZ Ward,1436660900,26,2c6qj,3,West Coast Fix,293,LOVE 3X (Joywave Remix),hiphop
